NetCom Log File Opened - File Name:  MatlabNetComLogfile.txt
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:56 - NodeConnectionClient::AddStreamObject - Object CSC_L22 has been added to our stream list. Stream Type: CSC
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:57 - NodeConnectionClient::AddStreamObject - Object CSC_L23 has been added to our stream list. Stream Type: CSC
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:57 - NodeConnectionClient::AddStreamObject - Object CSC_L24 has been added to our stream list. Stream Type: CSC
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:57 - NodeConnectionClient::AddStreamObject - Object S_R1 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:57 - NodeConnectionClient::AddStreamObject - Object S_R2 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:57 - NodeConnectionClient::AddStreamObject - Object S_R3 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:58 - NodeConnectionClient::AddStreamObject - Object S_R4 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:58 - NodeConnectionClient::AddStreamObject - Object S_R5 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:58 - NodeConnectionClient::AddStreamObject - Object S_R6 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:58 - NodeConnectionClient::AddStreamObject - Object S_R7 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:58 - NodeConnectionClient::AddStreamObject - Object S_R8 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:59 - NodeConnectionClient::AddStreamObject - Object S_R9 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:59 - NodeConnectionClient::AddStreamObject - Object S_R10 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:59 - NodeConnectionClient::AddStreamObject - Object S_R11 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:59 - NodeConnectionClient::AddStreamObject - Object S_R12 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:17:59 - NodeConnectionClient::AddStreamObject - Object S_R13 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:18:00 - NodeConnectionClient::AddStreamObject - Object S_R14 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:18:00 - NodeConnectionClient::AddStreamObject - Object S_R15 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:18:00 - NodeConnectionClient::AddStreamObject - Object S_R16 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:18:00 - NodeConnectionClient::AddStreamObject - Object S_R17 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:18:00 - NodeConnectionClient::AddStreamObject - Object S_R18 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:18:01 - NodeConnectionClient::AddStreamObject - Object S_R19 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:18:01 - NodeConnectionClient::AddStreamObject - Object S_R20 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:18:01 - NodeConnectionClient::AddStreamObject - Object S_R21 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:18:01 - NodeConnectionClient::AddStreamObject - Object S_R22 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:18:01 - NodeConnectionClient::AddStreamObject - Object S_R23 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:18:02 - NodeConnectionClient::AddStreamObject - Object S_R24 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:18:02 - NodeConnectionClient::AddStreamObject - Object S_L1 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:18:02 - NodeConnectionClient::AddStreamObject - Object S_L2 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:18:02 - NodeConnectionClient::AddStreamObject - Object S_L3 has been added to our stream list. Stream Type: SingleElectrode
-* NOTICE  *- (mm/dd/yyyy): 10/17/2016 At Time: 18:18:02 - NodeConnectionClient::AddStreamObject - Object S_L4 has been added to our stream list. Stream Type: SingleElectrode
